date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:30	54211/54211	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:14%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-13.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-13.jpg	(from http://mydesignhoard.com/HTML/html/education/abouthonorsawards.html)
13:50:30	60203/60203	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:25%20GMT	http://mydesignhoard.com/HTML/html/education/images/placeholder/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/placeholder/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutcampuslife.html)
13:50:32	225169/225169	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:41%20GMT	http://mydesignhoard.com/HTML/html/education/images/campuses/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/campuses/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/campuses.html)
13:50:36	39447/39447	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:14%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-15.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-15.jpg	(from http://mydesignhoard.com/HTML/html/education/abouthonorsawards.html)
13:50:38	29178/29178	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:12%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-07.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-07.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutobjectives.html)
13:50:38	8979/8979	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:10%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-08.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-08.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutobjectives.html)
13:50:40	8190/8190	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:10%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-09.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-09.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutobjectives.html)
13:50:42	11101/11101	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:12%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-11.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-11.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutouridentity.html)
13:50:42	22603/22603	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:11%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-10.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-10.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutouridentity.html)
13:50:44	9471/9471	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:12%20GMT	http://mydesignhoard.com/HTML/html/education/images/img-12.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/img-12.jpg	(from http://mydesignhoard.com/HTML/html/education/aboutouridentity.html)
